state,state_name,archetype_id,archetype,biggest_one_step_loss,danger_zone_width,leap,safe_exit,cliff_count,deferred_cliff_count,leap_is_lower_bound,no_cliff_found,comparable,figures,unmodeled_programs,corrections_applied,rent_vintage,county_vintage,childcare_price_vintage,reach_vintages,policy_year,sweep_generated,model_endpoint,model_version,source
AK,Alaska,single-2,"1 adult, 2 children (3 and 7)",14365,75000,45000,136000,6,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
AL,Alabama,single-2,"1 adult, 2 children (3 and 7)",12584,57000,42000,113000,6,1,false,false,true,complete,,Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
AR,Arkansas,single-2,"1 adult, 2 children (3 and 7)",10226,48000,19000,120000,7,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
AZ,Arizona,single-2,"1 adult, 2 children (3 and 7)",10859,47000,40000,109000,6,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
CA,California,single-2,"1 adult, 2 children (3 and 7)",13974,80000,55000,142000,8,0,false,false,true,complete,,California Premium Subsidy: modeled,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
CO,Colorado,single-2,"1 adult, 2 children (3 and 7)",25449,90000,73000,119000,10,0,false,false,true,complete,,Colorado premium assistance: modeled,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2015,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
CT,Connecticut,single-2,"1 adult, 2 children (3 and 7)",18701,82000,54000,131000,8,0,false,false,true,complete,,Covered Connecticut Program: ladder; CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",stateMedianCounty 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
DC,"Washington, DC",single-2,"1 adult, 2 children (3 and 7)",19928,83000,52000,133000,7,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2012,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
DE,Delaware,single-2,"1 adult, 2 children (3 and 7)",15590,66000,52000,117000,6,1,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
FL,Florida,single-2,"1 adult, 2 children (3 and 7)",5795,43000,27000,116000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2017,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
GA,Georgia,single-2,"1 adult, 2 children (3 and 7)",16978,56000,48000,114000,5,0,false,false,true,complete,,Medicaid — parent income limit: overridden; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
HI,Hawaii,single-2,"1 adult, 2 children (3 and 7)",7689,58000,37000,116000,5,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2020-2024-5yr; 2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
IA,Iowa,single-2,"1 adult, 2 children (3 and 7)",16819,46000,44000,108000,5,1,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2017,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
ID,Idaho,single-2,"1 adult, 2 children (3 and 7)",15624,48000,34000,109000,5,1,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
IL,Illinois,single-2,"1 adult, 2 children (3 and 7)",17288,64000,32000,110000,8,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
IN,Indiana,single-2,"1 adult, 2 children (3 and 7)",6951,47000,38000,108000,9,0,false,false,true,complete,,,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",nationalMedian 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
KS,Kansas,single-2,"1 adult, 2 children (3 and 7)",10044,56000,33000,113000,8,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
KY,Kentucky,single-2,"1 adult, 2 children (3 and 7)",11922,43000,22000,112000,4,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
LA,Louisiana,single-2,"1 adult, 2 children (3 and 7)",9649,51000,17000,114000,10,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2016,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MA,Massachusetts,single-2,"1 adult, 2 children (3 and 7)",10370,69000,38000,144000,6,0,false,false,true,complete,,TANF cash assistance: applied; ConnectorCare Plan Type 2A: ladder; CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MD,Maryland,single-2,"1 adult, 2 children (3 and 7)",33587,62000,53000,,4,0,true,false,true,complete,,Maryland Young Adult Premium Assistance: modeled,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
ME,Maine,single-2,"1 adult, 2 children (3 and 7)",8110,64000,22000,143000,9,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
MI,Michigan,single-2,"1 adult, 2 children (3 and 7)",17255,63000,55000,110000,6,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2024-1yr,2026,2026-09-16T22:19:04.187Z,45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
