state,state_name,archetype_id,archetype,biggest_one_step_loss,biggest_loss_at,biggest_loss_programs,danger_zone_width,leap,safe_exit,cliff_count,deferred_cliff_count,leap_is_lower_bound,no_cliff_found,comparable,figures,unmodeled_programs,corrections_applied,childcare_subsidy_footing,county_name,county_fips,rent_vintage,county_vintage,childcare_price_vintage,policy_year,sweep_generated,model_label,model_endpoint,model_version,source
AK,Alaska,single-2,"1 adult, 2 children (3 and 7)",14365,105000,Premium tax credit,75000,45000,136000,6,0,false,false,true,complete,,CCDF child care subsidy: added by HotGap,added by HotGap,Anchorage Municipality,02020,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
AL,Alabama,single-2,"1 adult, 2 children (3 and 7)",12584,47000,CCDF child care subsidy,57000,42000,113000,6,1,false,false,true,complete,,Premium tax credit — coverage gap: applied,in PolicyEngine's net income,Jefferson County,01073,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
AR,Arkansas,single-2,"1 adult, 2 children (3 and 7)",10226,64000,CCDF child care subsidy,48000,19000,120000,7,0,false,false,true,complete,,,in PolicyEngine's net income,Pulaski County,05119,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
AZ,Arizona,single-2,"1 adult, 2 children (3 and 7)",10859,43000,CCDF child care subsidy,47000,40000,109000,6,0,false,false,true,complete,,,in PolicyEngine's net income,Maricopa County,04013,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
CA,California,single-2,"1 adult, 2 children (3 and 7)",13974,91000,CCDF child care subsidy,80000,55000,142000,8,0,false,false,true,complete,,California Premium Subsidy: modeled,in PolicyEngine's net income,Los Angeles County,06037,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
CO,Colorado,single-2,"1 adult, 2 children (3 and 7)",25449,54000,CCDF child care subsidy,90000,73000,119000,10,0,false,false,true,complete,,Colorado premium assistance: modeled,in PolicyEngine's net income,El Paso County,08041,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2015,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
CT,Connecticut,single-2,"1 adult, 2 children (3 and 7)",18701,77000,CCDF child care subsidy,82000,54000,131000,8,0,false,false,true,complete,,Covered Connecticut Program: ladder; CCDF child care subsidy: added by HotGap,added by HotGap,,09110,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",stateMedianCounty 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
DC,"Washington, DC",single-2,"1 adult, 2 children (3 and 7)",19928,81000,CCDF child care subsidy,83000,52000,133000,7,0,false,false,true,complete,,,in PolicyEngine's net income,District of Columbia,11001,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2012,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
DE,Delaware,single-2,"1 adult, 2 children (3 and 7)",15590,54000,CCDF child care subsidy,66000,52000,117000,6,1,false,false,true,complete,,,in PolicyEngine's net income,New Castle County,10003,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2018,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
FL,Florida,single-2,"1 adult, 2 children (3 and 7)",5795,106000,Premium tax credit,43000,27000,116000,7,0,false,false,true,complete,,Medicaid — parent income limit: overridden; CCDF child care subsidy: added by HotGap; Premium tax credit — coverage gap: applied,added by HotGap,Miami-Dade County,12086,FY2026 revised schedule (effective 2025-10-01),"Vintage 2024 (July 1, 2024 estimates)",county 2017,2026,2026-09-17T00:25:59.552Z,"HotGap hosted engine, policyengine-us 2.6.2",45.55.61.191.sslip.io,2.6.2,HotGap/PolicyEngine
